Year Make Model,Nickname,Ordinal,Year,Make,Model,Car Division,Spec,PI,Class
1969 Toyota 2000GT,Toyota 2000 '69,247,1969,Toyota,2000GT,Sport Coupe Icons,Factory,265,E
1962 Ferrari 250 GTO,Ferrari 250 GTO,249,1962,Ferrari,250 GTO,Vintage Le Mans Sportscars,Factory,560,B
1954 Mercedes-Benz 300 SL Coupé,MB 300 SL '54,251,1954,Mercedes-Benz,300 SL Coupé,Sport Coupe Icons,Factory,291,E
1994 Ferrari F355 Berlinetta,Ferrari F355,253,1994,Ferrari,F355 Berlinetta,Sport GT Icons,Factory,568,B
1992 Ferrari 512 TR,Ferrari 512 '92,255,1992,Ferrari,512 TR,Exotic GT Classics,Factory,533,B
2002 Ferrari 575M Maranello,Ferrari 575M '02,257,2002,Ferrari,575M Maranello,Exotic GT Classics,Factory,585,B
1973 Porsche 911 Carrera RS,P. 911 RS '73,260,1973,Porsche,911 Carrera RS,Vintage Sport Compact,Factory,371,D
1995 Porsche 911 GT2,P. 911 GT2 '95,261,1995,Porsche,911 GT2,Sport GT Icons,Factory,640,A
2004 Porsche 911 GT3,P. 911 GT3 '04,262,2004,Porsche,911 GT3,Sport GT Icons,Factory,611,A
2007 Porsche 911 GT3,P. 911 GT3 '07,263,2007,Porsche,911 GT3,Sport GT Icons,Factory,657,A
1982 Porsche 911 Turbo 3.3,P. 911 Turbo '82,265,1982,Porsche,911 Turbo 3.3,Sport GT Icons,Factory,448,C
1970 Porsche 914/6,P. 914/6 '70,266,1970,Porsche,914/6,Vintage Sport Compact,Factory,265,E
1989 Porsche 944 Turbo,P. 944 Turbo '89,268,1989,Porsche,944 Turbo,Sport Touring Classics,Factory,429,C
1987 Porsche 959,P. 959 '87,269,1987,Porsche,959,Exotic GT Classics,Factory,687,A
2006 Vauxhall Astra VXR,Vaux Astra '06,278,2006,Vauxhall,Astra VXR,Modern Hot Hatch,Factory,386,D
2004 Mercedes-Benz C 32 AMG,MB C 32 '04,286,2004,Mercedes-Benz,C 32 AMG,Sport Touring Classics,Factory,470,C
2002 Chevrolet Camaro 35th Anniversary Super Sport,Chev. Camaro '02,287,2002,Chevrolet,Camaro 35th Anniversary Super Sport,Sport Touring Classics,Factory,499,C
